lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,model_architecture,training_condition,evaluation_condition,n_folds,total_subjects,mean_fold_mean_dice,std_fold_mean_dice,mean_fold_failure_rate_dice_lt_0_1,std_fold_failure_rate_dice_lt_0_1,mean_fold_strong_rate_dice_ge_0_7,std_fold_strong_rate_dice_ge_0_7
3,"[5290, 36236)","[5290, 36236)",Base CNN,Standard,artifact,5,163,0.5259187212,0.07420976181,0.1104166667,0.04924096734,0.3380681818,0.1277138819
3,"[5290, 36236)","[5290, 36236)",Base CNN,Standard,clean,5,163,0.5921389841,0.05038655072,0.05549242424,0.0304777162,0.4111742424,0.08339443352
3,"[5290, 36236)","[5290, 36236)",MedNeXt,Augmented,artifact,5,163,0.569724415,0.03537323188,0.08579545455,0.02245416717,0.4174242424,0.1119627386
3,"[5290, 36236)","[5290, 36236)",MedNeXt,Augmented,clean,5,163,0.595591383,0.04462373731,0.06761363636,0.03568254197,0.4852272727,0.113131137
3,"[5290, 36236)","[5290, 36236)",MedNeXt,Standard,artifact,5,163,0.534998343,0.04529395114,0.1047348485,0.04258458606,0.3494318182,0.06125949824
3,"[5290, 36236)","[5290, 36236)",MedNeXt,Standard,clean,5,163,0.5824104756,0.0454485472,0.0615530303,0.03373126797,0.4660984848,0.1231445161
3,"[5290, 36236)","[5290, 36236)",Swin UNETR,Augmented,artifact,5,163,0.5600209514,0.04098485236,0.07367424242,0.04126180717,0.3740530303,0.0958078778
3,"[5290, 36236)","[5290, 36236)",Swin UNETR,Augmented,clean,5,163,0.5987673197,0.05001700957,0.0490530303,0.03094954275,0.4543560606,0.1123449345
3,"[5290, 36236)","[5290, 36236)",Swin UNETR,Standard,artifact,5,163,0.5207811434,0.04250029356,0.07973484848,0.04112247938,0.2827651515,0.06160865785
3,"[5290, 36236)","[5290, 36236)",Swin UNETR,Standard,clean,5,163,0.5683415071,0.04654907131,0.07386363636,0.03196215623,0.34375,0.07834135561
3,"[5290, 36236)","[5290, 36236)",UXNet,Augmented,artifact,5,163,0.5384463289,0.03946943181,0.1170454545,0.05435507073,0.3736742424,0.07006449541
3,"[5290, 36236)","[5290, 36236)",UXNet,Augmented,clean,5,163,0.5793358077,0.03001995758,0.07367424242,0.0245073123,0.4227272727,0.06693568741
