architecture,training_condition,evaluation_condition,lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,n,mean_dice,median_dice,iqr_dice,catastrophic_failure_rate_dice_lt_0_1,strong_performance_rate_dice_ge_0_7,mean_precision,mean_recall,median_predicted_voxel_count,median_ground_truth_voxel_count,source_metric_files
Swin UNETR,Augmented,artifact,3,"[5290, 36236)","[5290, 36236)",163,0.5599689901642282,0.6268912806405482,0.3868778622247305,0.0736196319018405,0.37423312883435583,0.6910159307677208,0.5399043957553101,8854.0,12541.0,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json
Swin UNETR,Augmented,artifact,4,"[36236, 496656]","[36236, 496656]",164,0.7345471385226584,0.800715665909663,0.15692855986032717,0.024390243902439025,0.75,0.8309199371355948,0.7085814869993,82114.0,84688.0,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json
Swin UNETR,Augmented,clean,1,"[13, 1159)","[13, 1159)",163,0.3292693737577608,0.3308270682282146,0.6131785296389268,0.4171779141104294,0.17177914110429449,0.460809187094595,0.4217336719609781,409.0,509.0,runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json
Swin UNETR,Augmented,clean,2,"[1159, 5290)","[1159, 5290)",163,0.46864348849515325,0.49109154218900436,0.48656186107975363,0.1411042944785276,0.26993865030674846,0.5675283306363417,0.5126838143825525,2260.0,2492.0,runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json
Swin UNETR,Augmented,clean,3,"[5290, 36236)","[5290, 36236)",163,0.5987771481122514,0.6747820226749176,0.3500765953174132,0.049079754601226995,0.4539877300613497,0.7117333917132171,0.5827710379784317,9854.0,12541.0,runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json
Swin UNETR,Augmented,clean,4,"[36236, 496656]","[36236, 496656]",164,0.7567929912322846,0.81948423882264,0.12960229900948872,0.018292682926829267,0.7987804878048781,0.8382992657098075,0.7353408579097805,82253.0,84688.0,runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json
Swin UNETR,Standard,artifact,1,"[13, 1159)","[13, 1159)",163,0.25874383490109754,0.08484162921808777,0.5329841715906142,0.50920245398773,0.08588957055214724,0.4286600123348055,0.3254683324812168,518.0,509.0,runs/swin/run_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_05/eval_local/test_augmented_metrics.json
Swin UNETR,Standard,artifact,2,"[1159, 5290)","[1159, 5290)",163,0.4194397255196263,0.45263445278388365,0.4873144705177837,0.1901840490797546,0.17177914110429449,0.5446370060380071,0.44305308197703547,1835.0,2492.0,runs/swin/run_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_05/eval_local/test_augmented_metrics.json
Swin UNETR,Standard,artifact,3,"[5290, 36236)","[5290, 36236)",163,0.5208755930745205,0.5568718000423215,0.3504659984185245,0.07975460122699386,0.2822085889570552,0.668196725208502,0.49204850880961803,8611.0,12541.0,runs/swin/run_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_05/eval_local/test_augmented_metrics.json
Swin UNETR,Standard,artifact,4,"[36236, 496656]","[36236, 496656]",164,0.7028936239959045,0.7738108096066527,0.19855582289211826,0.024390243902439025,0.676829268292683,0.833443735431933,0.6565807663240746,67389.0,84688.0,runs/swin/run_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_05/eval_local/test_augmented_metrics.json
Swin UNETR,Standard,clean,1,"[13, 1159)","[13, 1159)",163,0.32897497825412586,0.31088083258610966,0.6170856337976557,0.38650306748466257,0.147239263803681,0.5205071373922561,0.3885883461757125,400.0,509.0,runs/swin/run_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_kfold_05/eval_local/test_clean_metrics.json
Swin UNETR,Standard,clean,2,"[1159, 5290)","[1159, 5290)",163,0.4581053049057178,0.5082918741673749,0.4884783615778612,0.15337423312883436,0.2392638036809816,0.5936687008317045,0.4791999854490921,1809.0,2492.0,runs/swin/run_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_kfold_05/eval_local/test_clean_metrics.json
Swin UNETR,Standard,clean,3,"[5290, 36236)","[5290, 36236)",163,0.5684349870641944,0.6325340878690505,0.32553485503332014,0.0736196319018405,0.34355828220858897,0.7161547559288604,0.5388945192168249,8906.0,12541.0,runs/swin/run_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_kfold_05/eval_local/test_clean_metrics.json
Swin UNETR,Standard,clean,4,"[36236, 496656]","[36236, 496656]",164,0.7397234395182952,0.8026499202179098,0.1549060358525286,0.012195121951219513,0.7439024390243902,0.8581867812579783,0.6947480768102261,73753.5,84688.0,runs/swin/run_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_kfold_05/eval_local/test_clean_metrics.json
